sentiment,preprocessed_text
2,woof wish allowed
2,thank afrin nasal spray got giant teacup tonight
2,aww love daddy work 7 day week day try sf
0,test todayyy dont feel confident anyy
0,graduation im little sad want hang
2,hahaa awesomee
2,holy smoke star trek freaking awesomeeeee
0,looking forward week math geography english french exam totalling 7 hour
0,poor outside sleep garden sun good dont forget suncream
0,
2,prob hun
2,hey mia totally adore music cd
2,shopping cleaning bmfing webcam chatting nephew spesh good bank holiday monday nonetheless
2,o need ask lmao love
0,splinter look painfulbut heroic saving mr pickle
0,sad
2,nice tweeting sunday 10th celebrating mother day today nice yer mom
2,decided 2 trans frm relaxed 2 natural hair wish head looked like root age instant gratification
0,missed awesome weather movie
0,kid terrible good evans id childline
0,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen day
0,whats sad actually google term suck tho
0,hate fighting
0,carwarmed sprite taste like sore throat
2,candle wax enjoyable
2,shes unassuming unpretentious shes suppose thats shes endearingbecause relate
2,goooooddd morning tweet week workout mention got new glass yesterday
0,hate
2,fine going big walk today 20 mile
0,want red cruiser dont like one lmfao
0,bugger forgot washing machine
2,_laurie sending love blessing healing thought family peace
0,hurtsreally bad
0,modem offline week god bless 3g network tim left schedule brutal
0,parent teacher thing yesterday boring going skl saturday lol
2,lichfield tweetup sound like fun hope
2,bevvies 2day twngreat day
2,night myers wout lydia im actually excited summer
2,good morning
2,best
0,url previous post timer job id removed space messed url e
0,nooooo secret namerebecca
0,miss neice wait bad n grown lol
0,hope car illness terminal
2,watched xmen origin wolverine totally loved haha
2,voted u personal myspace talking fake 3 u helped hrdest time life x
0,im sad missed guy night
0,today day high school ended going home sick stupid dead rat
0,lost tooth 2day whilst eating gumoww
2,happy 1 year 3
2,oh hella forgot official good morning like hear goooooooooooood morrrrrrrrning twitterville lol
0,vote day
0,im starving diet killing eat 8pm
0,im soo boredim deffo missing music channel
2,nite nite bday girl fun concert
0,sleeping lost voice couple day ago
0,hate parked car get hit
0,creeper feel disappointed cyberstalking skill internet privacy
0,going bed late headache
2,happy mother day mom
2,im thinking im going fun tonightand maybe change coming
2,haha know handle fame thank
2,yes sober hahaha tanghaling tapat dude haha wild dont kno plan plan
2,miss icarly son huge crush miranda
2,feeling smooth like chrome
0,ew traffic
0,walking class hate having bikeespecially
0,failed inspection know pas wooven woantitip bracket sold woven worse tax
2,jonas brother live party rocking hard love song
2,happy mother day mother world
2,35mins 1hr 20mins google wave demo look lot fun love test
2,sleepy tabz heading bed fun night listened episode jossd
2,screw review thought wolverine awesome dominic monaghan liking
2,followed recently dont offended havent followed hit limit hopefully free soon
2,happy monday going tavares today hope blessed day
2,cool luv
2,thats need thereto represent blackberry
2,yeah thinking ahaha
0,im sleeping accepts appology
0,wolverine bos seriously william
2,died laptop screen set 100 brightness reinstalled window vista got headache insanedefaults
0,trying decide movie friend going lol p bible study 2nite mean day cake buy
2,discovered cause bug new netplayer 4 build publishing bug fix hopefully new beta tomorrow
0,yes dont die normally lead small animal getting harmed
2,writing report card soooo tired amazing day check fb soon
2,good morning wonderful day neighborhood thanks following 60 morning
2,ftsk mercy mercedes amazing tonight
2,hope ok
2,school hurt seeing day
2,went party night dindin showed matching outfit great mind think alike happy birthday ate lara
2,happy bday woke earth wish bit late
2,thank teaching value better person day love youre best mum world
2,happy mother day
2,laugh im glad self confidence wonderful trait ill applaud extra loud okay
2,thanks
2,getting ready week nice today stuck inside working
0,tres depressed
0,felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw feel sick
2,happy mother day people love mom lot
0,im sorry hear
2,thats awesome dude yay surprise celebrity got meet year ago soooo friendly
2,make happy hear girl talk tweet nba nugget love
0,know neck jacked forced pay parking bc turn head parallel park free space
0,going miss roomie longer roomy starting tomorrow
0,yep finished chocked spelling grammatical error im cleaning tomorrow popping hehe
2,watching ellen love dish tanning gorgeous
0,whats goin hun im worried
0,im bannished work till 6
2,tonight party w girl minus vita
2,saw play amazing
2,_ glad break twitter virginity
0,dinner fam missed
2,know worth shot
2,opened facebook account im little confused dont twitter better
0,ship im stuck
2,dustbin baby 1130 wait x
0,going dwell happened passed shame supportive life x
0,laying bed til workkk oh life definitely pinched nerve
0,today busy day exhausting
0,sorry hear ur flight got cancelled blow
0,ohh tooth hurt ohh im sad hurt
2,distracted id like thank new follower taking trouble follow feelin love
0,u think u bill haii finished paying thats y im broke
2,mcfly gig nightt omg amazin didnt sit thing mcfly ma best mate tutu
0,2 day sleep migraine thought life postr01 meant relaxing
0,suck
2,pretty wide awake
0,miss daddy mommy
0,dog officially depressed brother dog gone doesnt want outside play halfheartedly
2,frist post new car parent exciting
0,argh noo missed killer wossy suck missed brandon total failure know repeated investigate
0,seriously bored talk tired sleep
0,lost help good home
0,ok ive got bit bad lifting drum hardware car downer
2,oh nice going
2,gon na celebrate mother day family gon na start partying tonite
2,agree
0,computer hopeless
2,90 degree gross sky thunderstormsperfect match mood lol
2,_2nd aww thanks
0,sorry rb ps3
0,stuck finger throat bunch bump tongue throat
0,dang url went
0,ohoh missed ur tweet im gon na stay awake night announcement time difference
0,damnit suck one thought id drag lol
0,sooo crazy fever
0,spending saturday morning taking note research essay stupid recalled book im fair
2,review sunehre ad placement
2,aww loooove
2,awesome lucky
2,haha im jewish love
0,lm 3 day matt fun weekend
0,feel pain way
0,sadly didnt come
2,wait boy tomorrow
0,aww miss driving elmwood
2,omg wango tango awsome love baby taking
2,version 2 live interactive transsiberian ticket planner launched cool
2,_30439 wish
0,im 25 december thats good big birthday 30 21 fly sure
2,night way funny
2,woo cavs happy mother day
2,thanks warm welcome didnt plan arrival time air
0,sorry friend im swamped deadline right family visiting boot charade
0,sunburn peeling
0,laying mooks soo comfy fn play pen thought ill dont cuddle
0,hate dentist
0,aimed joining insorry
0,im taking twitter break cell dying
0,wish nail stupid job
2,good
2,yep infact popular miss india 99 talented film actress lot
0,dosent want work tomorrow
2,daniel won dsds voice great
2,_x_atl u mean jack barakats wow u gone house hehe mean ur ssoo lucky address
2,sure hope 420 afternoon
2,mean famous congrats
0,phone passed away yesterday jumped table searching new phone
2,fantastic friend including one met thanks life amazing people
2,tamlyn wish cool sock draw
2,yes love tea make typically english
2,mouth sure
2,pancake lemon sugar thanks
0,si bueno guess dont entertain
0,im hunrgy right heel kill hardly walk
0,electronic key stopped working keyhole car technology
2,yay follower good know person big wide world like fishies
0,tony hey poor tony
2,goodmorning
0,took shift tomorrow dont feel like working right
2,love happy motherï½s day mom john taylor love
2,bought ludi rug dog best
0,waterfront anymore faccia luna clarendon
2,love mum happy mother day wonderful mother
0,slipped caught flu feeling like poop
2,urge play wow wait 2 week til im dad 547days til mcfly im excited l
0,ok passenger alive theyre dead dont know til end
2,morning tweeple
2,2 hour sleep rest need
0,dont want sit home prom night hang
2,heading home foot surgery wishing boyfriend come cuddle
0,lol dammit time
2,lol dont forget
0,jealous
0,forever 21 ethan
0,im sad im giving firsti didnt
0,week easy finally
2,wow beautiful picture wayi straightjust wanted let know bella
2,arch drawing checking mvccs cad degree look good
2,know want come company whilst mum friend night nice evening
2,cooking dad having lot fun kitchen
0,bouncing rush make feel nauseous
2,woolsery morning hopefully north molton u16 clinch north devon league title lovely day
0,playing singstar fave duetter
2,youre missing bb im cereal nut think like kind available
0,thats weird oh drawing
2,woke o mum singing new gnr cd replacement bought im good daughter
0,bird oh man thats cool didnt sleep night
2,250 mile 1750 thats ok u2 radio alwas help
0,street fighter iv skill lacking beat seth easy
2,fil 461 cool people like
2,good morning work espns sunday night baseball hopefully wont rained
0,son got stung bug time little finger slightly swollen
0,bumping dj opus drunk car lmao dont act like u dont know
2,kiss foot people kick want morning hope best day
0,here brief preview omg james creepy role im scared
0,im missing crab leg attending going away instead
0,hick mean
0,gettn ready trip jersey dad good need new heartwhoeva see prayer dad
0,home tomorrow running spinning time chiropractor laundry shopping visiting family missing nathan
0,going stuck office window
0,sad proud
0,sorry try
0,according quarter family live poverty
0,plan spend money going
2,congratulation guy finish month early booo
0,actually wish tahoe miss
0,bday june 19 wack ihavent seen promotion bday party better finagle asap
2,workin long day today hopefully good tip
0,went quick wasnt chance lol
0,hate headache maybe im ready rock
2,thanks support
2,good day driving mountain visiting katie eating chip fudge stocking lovely smelling soap
2,nyappy mother day mom
0,traumatizing moment childhood dog massacred baby bunny brother got bb gun
0,organization itil forget people fail preaching converted people
2,_libertine um glad enjoyed
0,im allergic cat tonsil swollen hurt dooo
0,say feel mama tucking night he lonely getting tomorrow tough
0,miss alot day
2,sound like great night im glad successful
2,thanks sharing
2,mlia instead fml hope soon
2,garden going corn pea onion beet
2,ahhh im sqeaky clean fresh im wearing dirty clothes love half men amazing
0,living ignorance
0,awwww gon na miss
2,like worthing relaxing place nice coffee shop fresh air oiks
2,today lovely day fun evening
0,betos pizzeria banksville rd believe beachview area sorry answer like 100 year later
0,sigh sister bein strange came way copenhagen london phone turned wan na dammit
2,amazing
0,im sick sad missing martini lounge tonight
0,wish spare cash buy new punch wii
0,aw going toronto anymore
0,sorry hear mom suck
2,feel hope smooth flight safe mucho amor boston
0,sleepso im watching hgtv im afraid infomercial
0,im getting family ready kaylees graduation gon na sad
2,sweet dream
0,pain big toe got stomped hokey cokeu throbbing suggestion heal
2,haha thanks history invention television influence america lol
0,stupid job idk
0,shopped til droppedcome bac sunshine miss u
2,like pic lucky girl
2,feeling loved mom got nikon cool pix birthday
0,hard time talking new people pretty sure didnt good impression
0,_rc234 haha yup terrible headache super swollen puffy eye dont think im going todayugh
2,sun shinningat
0,slowest train stop missed quick train minute
0,dont think ive tierd lifeughgoodnightso sleeping tomorrow
0,doesnt want anymore
0,bad hair day
0,headache
0,sorry guy didnt sign sorry every1
2,_a_michael hey thanks great day im going sleep ill chat tomorrow sweet dream
0,bet cool sr huh havent stopped sweating noon dad packing
2,cool mother awesome hair style wish happy mother day
2,happy mother day mother
0,stupid bipolar weather ruined day
0,didnt want tell think body odour
0,thats pretty bad quality probably worst pic u posted till date
0,missed call
0,unfortunately look like funny people twitter fb start ownflitter
2,came karaoke eating dinner emily sooooo fun
2,discrimination bad thing ive learned child mastered year ago
0,15 sec clip new moon trailer etonlinecom check big tease
2,got working im feeling pretty good work 430
2,matter bet great love right
2,dh finished making giant trio candy bar thank heaven work mate treat tomorrow
0,working diffusing irritation traffic sure isnt helping mother f real bad day th help plan stuff
0,submitted resume day saw answer oh
2,love ryans housewife make smile
0,soooim kinda o sick n tired b guy dish
0,boo hoping fake alien story tinfoil covered beachball photo
0,missed westcott micro apollo
2,great buy lunch 1015 pay cut month
2,finally gone beach yeaaaah
2,_ranjan mention nice awesome dude
2,hello gorgeous girl nice new pic today
2,ok duet hysterical lol
2,way tend followfriday list sweetie rock
2,watched 100th episode numb3rs loved throwback episode sprinkler theory
0,im sleepy feeling weather ugh tonsil need company somebody talk
2,_ichigo tried carry aswell bless suppose maybe thats kid shouldnt
2,booziest weekend long time good fun
0,counting hour lost sunshine weekend
0,planning trying doctor isnt going planning
2,ok good day
0,im zindex problemagain
0,bored work
0,hating life moment there no delicate little mind
0,day summer suck overcast cold isnt summer
2,say happy mother day mom
0,sorry tweet bgt poor wonderful crazy weird greg fair silly little girl going cope urgh fair
2,_michele thanks thatam following themlove good cause
0,available area
0,waiting 500 having cramp
2,philosophy final today thank 3 day
0,1st presentation senior board fml
2,lol know funny ahaha
0,wide awake grouchy
0,thought thing worse worse tonight bet life misery
2,lol hi emmy latin help study aptitude test grad school thats wan na
2,_kap think cute night okay
2,happyskool let today day yippee rip jackson tyler morris loved forgotten
0,wheres music mannnn inbox
0,atm oh yeah apple juice im rebel
0,im sorry sick u know know u guess pelzer present
2,nice
2,got ta creative mother day gift im gon na win love
2,aah friend wondering alls great weather good
0,lost artistic ability
0,stone cold crazy
2,_xo pretty took like hour ur
0,crisis forgot fringe comb im menno help
2,got ticket thanks making sure
2,thanks new follower
0,_kill_boy oh sorry getting reply yes know nirvana
2,busy working new kit couple interview doneyea weekend pray uncle young massive stroke
0,_ nooo roo cry omg wanted slap singing fine boohooooooooooo
2,good morning court crossfit bible study special house
2,great time london
0,emergency room cousin shes got mad flu walk breathe hospital cold
2,thanks greeting
2,pretty baby
2,jungle book 2 sooooo cute eat drink
2,ah ok thank youuuuuu
0,twitter fail life oh
2,phone 20 minute pluck courage wish phone ring
2,sherrieshepherd gave link give twitter tip hope help
2,loved mini
2,yeah im okay icing ace bandage sitting twitter lol thanks
2,youre gorgeous
2,guess relaxing dinner movie tonighti looking forward day work
2,rofl uh huh
2,funny 7
0,doesnt look fab
0,terrible headache need relief
0,month ago irrelevant
0,finally sunny day im sick outside play
2,good luck exciting
2,working vacation thailand getting excited day
2,finally chance genuine love dependent selfish love hope heart go im sorry 4 ur pain
0,im game bad leaving hi
0,screwed sat 2
0,got im coworker got laid lot people unemployed
2,exact thinking bestttt
2,googledocs folder instead label like gmail kind like label
0,knew dentention hard 2
2,pacquiao fight fun home wif fam melissa sat today mission ikea srsly 4 different freeway ge burbank
0,nail broke haaaaaaaaate
0,dang disappointing
2,longer nkotb block party love need bed wondering time overlolthanks
0,thanks mom seed larger cracked planted hope avalina isnt dud
0,hate weather
2,cultural tour 102 loiusas family kangaroo sightseeing cemetary lovely
0,flapataco nice pleb came
2,oh yippee lynz way get celebrate mother day time mother
2,chillaxin busy bankholiday hope everbody gd wkend holiday 12 day
2,havin better day today finished twilight book yesterday class start week yall
2,new motorcycle popped cable wowyou ride hard
2,thanks welcome
0,want experience snow dont snow suck
0,sore head
2,thanks amy video awesome tmh he amazing bouncy bouncy bouncy
2,lmaoha simply wanted ny
0,bored habbo stupid ban
0,dont think sister refusn ticket week
2,hahaha oh man come pomona love everyday instead like year
2,jon greatest dinner roast pork tenderloin bed wild rice bed mixed green yummy sauce wine
0,nooooo raininghad 2 leave beach
2,shower class class taking care ladyfriend writing like there tomorrow
2,rockstar photographer shoot went great tonight little different usual stuff nice
2,great pic try start selling race photo runner
2,goodmorning twitter oh gosh woke soooo nice lol oh hai thar twitterverse happy mothersday everybody especially
2,_dulay swear took 2 hour bel air alabang yes loved reminiscing hk trip
2,world amazing
0,idea im completely lost
2,awww he cutewish couldve gone
0,think look little silly camera broken photo
2,great talk grace awesome god worksthat started remote control work
0,day beasted
0,oh nevermind think thing unsalvageable
0,spent 2 hour looking blog topic ended inventing grrrr
0,disappeared life
2,happy mother day mom mom stroll beach laterhopefully
2,_kittykat hello new follower haha ya
2,haha best thing office birthday hey
0,knew miss phone 4 hour till told wont till
0,_lay aww randomly woke sleep thing mind
0,thats proof there fair world
2,better come time count 10 1 2 3 bam
2,_3 u know kid dont
0,ugh wan na play dnd know im going fail final need study
2,hi thx following teach chinese lesson youtube pls feel free look
0,sad saying im fat tear
0,im trying driver microsoft lifecam vx3000 webcam link
0,finally lay bit major headache
2,yes star trek sooooo fun
0,stupid accidentally gave honey atomic flavored buffalo wing stomach feel awful im sorry baby
2,relaxing thank hope foot tomorrow enjoy day
2,yessir 100 right
2,writing music lit final paper mozart eine kleine nashtmusik mom giving handand im actually having great time
0,got crush issue tomorrow friend going india summer im sad
2,aww thanx andy
2,goody bagged car boot including cute cross stitch bird craft room man selling sweetie
2,finished ironing clothes church gon na walk dog grab showershave jottonia look good
2,coooooooool dooooooooown patience virtue
0,going courthouse pay tag tax carsthis gon na expensive
0,tired ready bed mood salt pepper chicken wing noodle money chinese
2,usual family party today happy birthday lily
2,goodnight magic pretty world
0,mad tired hols miss chomp chomp terribly
2,good morning ready start week
2,ive read good thing bout feelin tonight proly finish tomorrow star trek
2,glad im finally final
0,watching thing comcast missing boo like crrrrrazy
0,rain perfect day clothes wet
2,miss u guy prob wont b bk til august sumtime come bk anytime b4 ill 4 sure let u kno
0,lol ive b4 im victim 2 lol
0,slip fall dirty school bathroom floor fml
2,got confirmed itï½s pizzatime ex coworkers fridaylooking forward
0,ugggh idk wan na stop getting text twitterr ilse
2,wait november jobros concert examination
0,came watching terminator salvation cathay soso action feel sorry marcus
0,believe thought morning shift today told alex airport flight shift
0,poor heather didnt cheerleading squad im sorry babygirl maybe year
2,jus love doin night shiftswill hour
0,reupload thing
2,know update amusing prop auctionhow baseship bed
2,love fact there 5 day school left
2,oh hope bad
2,awesomeam headin nite grad dinner c u boi hehe
0,_beery yeah little rough morning tonight tomorrow night go planned caloric intake chart
2,aww congrats family send piccies email
2,uber bored atm blue shower watch house numb3rs vid csi csi ny bone double yay
2,okay okay sleep realz goodnight wave follower
0,omg mom called im late he gone
0,lost internet signal life
0,sorry didnt chance chat screengrab09 caught glimpse room dragged home prematurely
2,__buckley good mate sadly pissed tonight driving bad time
0,bit tongue blood
2,cute fun watch
2,great weekend site moved plenty thing learn keeping faith looking future
0,dont know hurt arm guess booze ask dont believe
0,going dance recital feel like piece cuz cost money
0,tiiiiiiired going bed drinking lead making boy later forget name dont drink kid goodnight
2,thats doting husband lol hope brace eat normally
0,keep getting delayed response internet messed
0,know sad
2,good morning twit let make today x100 better start runnin
2,thanks man sorted remember 222222
2,_craig_g hope enjoying moneyits looking real good right
2,favourite shirt true 3 grumpy cute b huggable c life party d
2,thanks fr yr congratulatory gweetin
0,time friday sadly thats
2,star trek good time
0,sun cool
0,meeeaaannn people mistake ok lol
2,invisible car help boost recycling honest
2,ha totally posting update 2amits lightning outside pretty
2,tour philippine lot fan love
0,broken fb wedding sadly longer excuse hauntingxealot goulburn
2,nice clutch
2,happy mother day mommy
2,enjoying mother day
2,wishing mommy happy day
0,learn today post youve sold ebay royal mail lose refund compos near bad
0,_ oh god yeah forgot
2,ahaha stuck head thanxx
0,im poorly sleep
2,happy star war day 4th read
0,buried web change going lunch wont chance later
2,hope great weekend today 2 important meeting today
2,love guy youre best
0,shut face mean pedro supposed mean
2,_babe woo im getting mondaycant wait x
2,awww shes laavly come ive got stunning wee tan l
0,im getting sick ugh nursing home laying bed run later watch movie austin sara sami left
0,saw stalkerishly elevator brookie eating moracca
0,thatï½s disappointing hear
2,use tweet push shop time im hopefully
2,getting ready bed happy mother day mother
2,blink fast better lol thanks
2,cont bastardized version french fun believe
2,ala moving like im moving actual moving ugh wish
2,today jon doe play moho ia m excited itï½s gon na funny carry equipment backline
0,facebook
0,mad rain got menow jaiden
0,dont feel good
2,congradts ur tho wasnt lol
2,damjust finished watching prison break final breakomg dont think ive cried hard showfinally understand finale
0,visiting grandparent manhattan dropping sister week wish excuse tired today
2,good luck finally long time panvel tweetup finally coming true
2,heading hollywood studio today manta kraken awesome yesterday feeling like ride
0,weekend going packed work school life summer im afraid
0,read blog im having best day
2,welcome
2,ha thanks bryan dont remind state budget issue actually steve 6 staffer 3 office
2,thanks close
2,watered tomato plant pepper plant lettuce feeling homely freddie funpacked day
2,sorry
0,know remember
2,tmobile g1 hummer h1 wish battery life iphone
2,nite nite twitts wish u happy sunday major gift 2kidsmy bron n 1 gift d way tyg
2,omg 147 kim possible disney channel right glued screen
2,thought bar life meant partying nonstop catch 2 yearslol shoulda known better
0,work heat horrible
2,came sleeping national passtime turned human
2,didnt shave head love cut im glad didnt shave hair pretty
2,twittering like bos thanks savvv
2,sleep pattern screwed need try stay 2 midnight decent sleep coz havent slept
0,demise woolworth isnt easy reasonably priced pick n mix
2,fourth happy star war day
0,ive unlocked decade nowjust lucky gottta luck involves
0,taking care yucky stuff
0,homework friday nightlame
2,thinking look good place appericiate support site joined
0,industrial tommorow oh yeah bunch old people away forever probably place
2,believe drove way schoolwhatever happy mother day mommy precious candis granny
2,hope doesnt rain tonight tomorrow fam come visit swimming pool carne asada rain pool going dirty
0,laughing reasonmaybe 227 im tired haha maybe bed night
2,thats good day
0,_greta good box worth way
2,created account chance chat admire youre amazing inspire write 3
2,think ill enjoy sun ray againi love work
2,hahaha busy replied yes true
2,thank cici right ya
0,bad
2,thank x
2,think pretty figured added box helsinki group tweet
0,missed guess scared _tx sorry
2,lexus twitpic happy mother day lexus hopw nice
2,_uts bass love
2,omg jonas new fave 3 guess hahahha
2,yeah thanks
0,feel bad female racoon abusive racoon husband black eye help
0,prob cuz dont like sleeping late tried
2,congrats knottie man
0,awww dont mean sound like overgrown age 37 baby im stick bad yesterday bad
2,coming year wil said yes good
0,im watching missing piece coz theme song lost
0,hope theyr wrong need
0,throat killing
2,awww ill let youd better 30th xd
0,_nexus new suitcase bloody indecicive everytime want buy take hour
0,oh dear u prevent bite im itchy distracting editing sigh
2,think good stood
2,hook rian van staden twitter better cook concrete suggestion
2,nako umuulan pa naman enjoy bike ride
2,discovered great site
2,oohh yaay like love ya
0,dota addictioni waste 67 hour playing dota
0,long frisbee golfer accidentally catch head friend
2,_lhoste thanks following twitter hope exciting looking forward tweet
0,hi guy da usael notmuch 3 sad
2,happy mother day mommy woman man long youre momma day
0,smoking suck suck suck want cig
2,hi uploaded 5 completely new chinese lesson feel free watch enjoy
2,nice ordered mom gift sister different unexpected
2,dont follow dream chase richard dumb think smart
2,didnt memo look amazing
2,yeah twitter lot fun babe especially youve got ppl talk lol sound goooooood lol
2,tonight hilariouss loveeee theree
2,thank guy awesome thing blog tonight grateful
0,heart burn
2,haha thanks thats new word week
2,happy mom day mom
2,_guy luv hear music iï½m battery tv play think kind vampire movie
0,dude thats effed lol chris browning live far apart im afraid fly
0,washing dish s hard 2
2,wanted positivity doin good change wont regret forsure
2,mint icecream dessert tonight love stuff
2,watching snl ucsd girl laughing twitterblackberry joke thought id tweet
0,depends want itive poor
2,think s related size depend structure hard relay tweet worth blogginggood question
0,grandma internet catch twitter
2,having awesome fruit vegetable juice opening lam noodle 8
0,okie gon na tweet loosing guy girl
2,packing leaving inlaws house heading home sweet home nice weekend work hour
2,happy momma day honor mom sign maternalhealth here mother luvin kid
0,tired
2,y 2 people following people follow x
0,uploaded new blog painful story 80 year old man cried wanted die sad
2,aw toy story 3 coming year
2,goooodnight happy mother day mother
2,immediate city point tomorrow afternoon monumental
2,good day good friend regret living
0,wats gooood miss yall
2,omg sooooo dis number n da rating
0,burfday im
2,yesmet jon yr interesting questionning agile agile 2008 session dont yr schedule
2,aaawww worry fresh start work growing
2,spent hour playing l4d babe hella fun love 3
2,nice
2,enjoy coffee miss petite puce adica puricel franceza
0,young people attracted trouble make sad 3 kmv
0,omg im going robinson tyler wfm freakin miss anthony ugh today kinda suck lex3
2,little felted thing look like incestuous product lovely
0,super sad bart holding
0,_eron effy break heart
2,thanks lyxxx
0,terrible cartoon thats supposed mexican
2,happy mother day
2,happy day star war day
2,happy mother day
0,sorry seen strange happen iphone problem twitterific
2,happy birthday
2,thanks real nadia
0,expensive
2,msning school shouldnt bank holiday x
0,sorry issueslol weekend started hour ago
2,ccï½s video long gone premier today yahoo dont miss awesome video version
2,know know hug
0,sad seeing basshunter metroplex weekend
0,read phone book hugh clancy hugh clamentsnope hugh clap poor holly shell grab pity vote like shark
0,o work pain spammer
2,watching w jas love brother he best friend
0,totally gutted decided tonight roni size djing
0,dont think like roy williams dissects frog alive look like chachi happy day
0,definitely ready actually ahead sun tan beach yesterday
2,opposed twitter talk people sl fun way way distract
0,zach g get extensive profile weekend ny time magazine chance falling love getting fewer fewer
2,yeah thanks ill soon ya got
0,ahhh fusterated
2,hd lecturer gob smacked good presentation
2,awesome deserved im sure miss crab game
0,imovie 08 bad afraid hear wrong 09
2,balancing chair chin sixth form common room got sneer hung ball good
0,outta shower bad justin spend night haha
0,jealous look like schindlers list toronto
2,little_ren lovely lovely niceee
0,im jealous dont know ill able conan
0,wedding thursday im ill
2,motivateddeterminedwannabe sexy successful young professional join bni no1
2,lmao yeaa iight n u shuld tha cb flick w ur head juss joke
2,im sure jont wont mind sharing
0,awpoor thing
0,hahahah course nasty display picture
2,boooo bet nice wallet
2,thanks scared dentist look like going
0,dad having fever nite need 2 bottle blood trasfusionloaded 1 today1 tomorrow
0,sick feel like jello talk delirious
0,teddychucking time
2,omj 3rd episode jonas great funny wish pizza girll lol 3
2,make perfect sense guess earth thanks reply
0,finally im online miss lappy thing follow starting ning haha
0,sux im thinking accountant mad monies im middleschool cafeteria manager 25kyr
2,sun shining brightly day begun whats store wandering le calanques maybe vin definitely
2,am good gmtish people think looking forward hope youre battery laptop recharged soon
0,fact room hot making feel sick
0,arm hurt
2,remember evidence based management lecturesdefinitely best ebm
0,way work im hungry
0,starting phase 1 operation productive pack clothes pink tank oh
0,miss cauzinhoooo
2,fab eh feel free come preep 4 chat drink luigis tomorrow
0,ok oops sorry
2,lllooovvveee icarly
2,wow didnt realise hami lol thanks comment blog dude
0,_xo hey chick u alryt u dad tmoro sud sumin aen like week neva dun oot week lol missed ha bye hun
2,glad sun dublin great week london work
0,weird need lay smoke youre talking
2,awsome salad recommend getting spicey buffalo chicken salad
2,_luck13 cute
0,_zaboo ok hurt abit thought good job rude people understand x
0,lost hiatus noooooooooooooooooo d school tomorow 10ty
2,yes super lakas ng ulan buti nalang red bandana body ko lang ang wet look hahah
2,watched gossipgirl dans funny haha
2,hope day get better soon
2,thanks shoutout
0,sunny morning big k lawn mow 2 mile run attempt urgh
0,melissa_leah car wont start
0,bushidokan class got canceled ill sign karate someplace
2,aww jon ryan bob greta picture adorable brightens morning ty jon walker
2,maybe day favorite producer list lol
2,id love
0,commute rain people meaner
0,problem im finished logged mass hour week im paid pop
2,beautiful morning nice
0,faillllllllll ur freee
2,_ray bright eyescontentment
0,leg sore foot hurt walk whataday
0,hahah sadly current activity room
0,want talk lol
0,irratated
2,thats colorful thing ive seen daywow
0,haha actually violation someone trademark okay yeah went bed 4 6
2,started watching 30 rock borrowed season 1 2 dad good
2,like ogberry
0,lost bowling suck
2,totally welcome come hang wiki
